scenario;dimension;segment;n;win_rate_t1;avg_return;median_return;profit_factor;max_drawdown;expectancy;avg_holding_weeks
C;score;bajo (<40);69;0.029;0.0595;0.0;1.9758;-0.4901;-0.0209;32.7
C;score;medio (40-69);322;0.0217;0.0866;0.0;2.3814;-0.5837;0.0049;34.2
C;fibonacci;alta (0.68-0.786);50;0.04;0.0454;0.0;1.6039;-0.4817;0.0021;27.2
C;fibonacci;baja (0.382-0.50);159;0.0126;0.108;0.0395;2.9435;-0.4728;0.0001;36.0
C;fibonacci;ideal (0.50-0.68);202;0.0297;0.0749;0.0;2.197;-0.5837;0.0043;33.5
C;mercado;AS;18;0.0;-0.0251;-0.1253;0.8123;-0.4817;-0.1162;23.2
C;mercado;BR;8;0.0;-0.0756;-0.0702;0.1681;-0.3286;-0.0374;42.2
C;mercado;LS;10;0.0;0.0284;0.0232;1.8972;-0.1698;-0.002;25.1
C;mercado;MC;16;0.0;-0.0719;-0.0808;0.4423;-0.3167;-0.0822;30.6
C;mercado;MI;4;0.0;0.2722;0.5959;5.3684;-0.4225;0.0867;28.0
C;mercado;OL;13;0.0;-0.0333;-0.0431;0.7068;-0.5837;-0.0552;31.3
C;mercado;PA;4;0.0;0.1858;0.4044;3.7783;-0.2861;-0.0669;46.5
C;mercado;ST;22;0.0;0.0968;0.0167;4.3154;-0.221;0.0182;32.2
C;mercado;US;316;0.0316;0.1043;0.0395;2.9303;-0.4901;0.0157;34.6
C;año;2013;8;0.0;0.0969;0.1824;10.5941;-0.1682;0.0488;39.2
C;año;2014;18;0.1111;0.168;0.1789;9.3143;-0.2736;0.0749;38.4
C;año;2015;26;0.0;-0.0876;-0.1344;0.3184;-0.4405;-0.1135;29.4
C;año;2016;44;0.0909;0.2751;0.2675;14.4447;-0.2416;0.0633;43.6
C;año;2017;18;0.0556;0.2004;0.2082;9.5863;-0.221;0.1072;43.9
C;año;2018;15;0.0;-0.0507;0.0;0.3873;-0.3493;-0.0627;26.3
C;año;2019;50;0.0;0.0058;0.0;1.0567;-0.5837;-0.0725;30.3
C;año;2020;22;0.0455;0.1062;0.0467;2.0969;-0.4848;0.0598;19.3
C;año;2021;11;0.0;-0.0038;0.0;0.9493;-0.2649;-0.0327;23.5
C;año;2022;30;0.0;-0.0215;0.0;0.7657;-0.4817;-0.0809;33.2
C;año;2023;88;0.0114;0.1281;0.0682;3.6594;-0.4816;0.0059;42.1
C;año;2024;24;0.0;0.1175;0.0818;4.3856;-0.3128;0.1057;34.4
C;año;2025;28;0.0;0.0534;0.0;1.7285;-0.4728;0.0278;28.4
C;año;2026;29;0.0345;0.0197;0.0074;1.6172;-0.2759;-0.0105;15.9
